(183.82.1.148:59048,2015-07-22T09:01:28.982Z)
(150.129.178.193:60650,2015-07-22T09:02:16.199Z)
(182.57.129.121:57791,2015-07-22T09:01:00.586Z)
(106.76.116.250:20502,2015-07-22T09:01:28.772Z)
(122.161.111.208:1324,2015-07-22T09:04:08.117Z)
(117.206.240.61:2466,2015-07-22T09:01:12.214Z)
(117.241.230.162:51813,2015-07-22T09:04:43.147Z)
(106.218.41.242:1589,2015-07-22T09:03:39.584Z)
(124.125.159.55:55738,2015-07-22T09:01:24.528Z)
(203.91.192.4:35133,2015-07-22T09:03:26.343Z)
(122.248.183.22:8133,2015-07-22T09:03:28.608Z)
(1.39.13.4:32871,2015-07-22T09:01:27.179Z)
(107.167.112.77:46581,2015-07-22T09:03:42.160Z)
(122.182.6.210:19591,2015-07-22T09:02:19.347Z)
(14.139.218.50:2130,2015-07-22T09:01:33.533Z)
(106.186.23.95:35973,2015-07-22T09:03:02.389Z)
(27.109.10.166:50174,2015-07-22T09:04:38.33Z)
(115.113.187.131:65367,2015-07-22T09:03:21.867Z)
(203.99.206.243:61755,2015-07-22T09:02:35.988Z)
(106.220.215.39:24360,2015-07-22T09:02:21.830Z)
(168.235.200.51:16390,2015-07-22T09:01:23.449Z)
(117.204.164.200:50269,2015-07-22T09:03:19.592Z)
(103.245.198.70:64426,2015-07-22T09:03:04.609Z)
(202.71.30.152:50772,2015-07-22T09:04:19.736Z)
(202.138.120.67:47788,2015-07-22T09:02:48.199Z)
(52.74.219.71:59121,2015-07-22T09:00:56.112Z)
(1.39.12.38:17500,2015-07-22T09:01:04.790Z)
(70.39.186.47:42744,2015-07-22T09:02:37.356Z)
(198.28.92.5:33253,2015-07-22T09:01:34.456Z)
(122.180.230.129:11553,2015-07-22T09:00:50.808Z)
(52.74.219.71:60390,2015-07-22T09:01:05.191Z)
(66.249.90.85:38228,2015-07-22T09:04:07.964Z)
(115.69.82.245:47987,2015-07-22T09:01:28.275Z)
(84.45.65.102:54552,2015-07-22T09:03:15.360Z)
(106.51.193.104:58831,2015-07-22T09:03:23.599Z)
(52.74.219.71:51183,2015-07-22T09:03:43.75Z)
(59.91.248.224:16502,2015-07-22T09:04:30.899Z)
(202.0.109.1:10536,2015-07-22T09:02:12.580Z)
(125.16.138.141:46830,2015-07-22T09:04:11.141Z)
(124.253.3.144:55793,2015-07-22T09:01:22.174Z)
(14.141.88.230:31019,2015-07-22T09:01:26.276Z)
(104.236.211.218:19557,2015-07-22T09:00:53.236Z)
(182.69.100.31:56411,2015-07-22T09:04:31.539Z)
(106.186.23.95:34701,2015-07-22T09:00:57.314Z)
(182.19.68.37:52787,2015-07-22T09:04:19.2Z)
(117.195.249.132:10242,2015-07-22T09:04:33.846Z)
(123.201.81.130:17495,2015-07-22T09:00:32.596Z)
(182.68.252.156:63577,2015-07-22T09:02:32.720Z)
(106.186.23.95:35706,2015-07-22T09:02:34.100Z)
(121.246.82.171:35540,2015-07-22T09:00:54.135Z)
(167.219.48.10:52721,2015-07-22T09:01:40.567Z)
(193.163.248.30:50269,2015-07-22T09:03:08.18Z)
(49.204.204.132:62311,2015-07-22T09:01:11.465Z)
(121.242.40.15:55433,2015-07-22T09:03:29.165Z)
(14.139.250.94:44437,2015-07-22T09:03:01.621Z)
(124.253.210.233:55082,2015-07-22T09:01:36.388Z)
(198.175.68.36:60927,2015-07-22T09:03:10.627Z)
(117.219.151.177:58833,2015-07-22T09:01:41.53Z)
(196.1.113.242:52931,2015-07-22T09:03:34.614Z)
(122.161.196.249:39822,2015-07-22T09:04:24.658Z)
(203.16.165.129:21766,2015-07-22T09:02:08.872Z)
(101.219.95.62:35424,2015-07-22T09:01:46.677Z)
(119.81.61.166:48000,2015-07-22T09:04:06.401Z)
(59.177.143.88:29444,2015-07-22T09:04:31.907Z)
(112.133.194.99:49752,2015-07-22T09:04:40.172Z)
(182.73.202.234:32384,2015-07-22T09:03:23.470Z)
(203.99.218.140:53728,2015-07-22T09:04:08.391Z)
(61.95.193.239:27030,2015-07-22T09:03:04.462Z)
(122.180.170.91:20259,2015-07-22T09:01:46.845Z)
(106.76.106.41:63131,2015-07-22T09:04:18.534Z)
(123.201.67.38:54846,2015-07-22T09:04:24.221Z)
(117.201.166.166:11709,2015-07-22T09:00:29.406Z)
(59.177.69.33:18959,2015-07-22T09:02:33.905Z)
(223.176.176.187:10381,2015-07-22T09:03:21.234Z)
(192.156.110.202:53307,2015-07-22T09:04:29.179Z)
(182.65.95.146:17649,2015-07-22T09:03:06.262Z)
(115.98.50.161:57108,2015-07-22T09:04:32.673Z)
(49.205.64.146:53827,2015-07-22T09:02:57.669Z)
(168.235.198.221:28211,2015-07-22T09:02:25.870Z)
(49.14.4.76:35584,2015-07-22T09:03:07.29Z)
(107.167.107.95:58764,2015-07-22T09:00:36.952Z)
(168.235.197.45:16871,2015-07-22T09:00:58.287Z)
(122.169.58.159:53157,2015-07-22T09:03:24.169Z)
(54.251.151.39:46215,2015-07-22T09:02:11.553Z)
(14.140.145.2:33741,2015-07-22T09:02:06.916Z)
(164.100.96.254:13253,2015-07-22T09:02:03.859Z)
(180.151.86.186:56163,2015-07-22T09:03:53.548Z)
(111.93.160.234:2137,2015-07-22T09:04:11.672Z)
(204.136.218.8:11771,2015-07-22T09:02:34.329Z)
(8.37.225.30:35464,2015-07-22T09:03:37.476Z)
(115.114.110.181:22515,2015-07-22T09:04:42.665Z)
(180.151.36.134:25862,2015-07-22T09:01:32.40Z)
(52.74.219.71:60321,2015-07-22T09:01:04.720Z)
